stationNumber,x,y,z
415,-18.409421238399997,-16.419338138,1.4588069459814998
416,-17.6738186599,-17.7088562746,1.4538740886983001
417,-19.925450137,-13.8100294892,1.4677400237809999
418,4.10685584884,-6.07064890112,1.4813414709844002
419,-13.1971529325,-22.927221075099997,1.4363675753123
420,4.86158347451,-4.775240364319999,1.4803764366826
421,-22.9226342385,-11.2023630035,1.4746752216793
422,-14.6974597758,-22.9236858746,1.4341939381045
423,-21.4227096569,-11.2042492503,1.475059165649
424,-20.672001875000003,-12.5078861875,1.4721322250758
425,-15.4444588285,-21.6208683793,1.4392449298485999
426,-24.422926998300003,-11.1987912852,1.4723005663015
427,-16.9534605744,-24.2235264498,1.4271945321408
428,-4.20139575657,-28.1441587166,1.4054881152093002
429,-17.7001591055,-22.9188256157,1.4309756100305
430,-5.70189827256,-28.1396998998,1.4063845143445999
431,-13.9495136063,-24.2267790448,1.4297096469575998
432,-16.1982685768,-22.9201139877,1.4332967326559
433,-15.4526356546,-24.224507871300002,1.4280383736419
434,-12.4506692953,-24.231919461900002,1.4309378820316
435,-16.924334384199998,-13.8227968636,1.4692201431190999
436,-14.674486633,-15.129844975300001,1.465949900246
437,-15.4230070048,-13.8221624867,1.4719134907012998
438,-13.9345100002,-16.425177434400002,1.4635229322092
439,-16.2119816698,-28.1163525351,1.4095269621024
440,-16.958189046799998,-26.820833038900002,1.4173661671505
441,-15.455263343299999,-26.8226900612,1.4175520975069
442,-14.7111665156,-28.1199949811,1.4116441838176
443,-11.7105429902,-28.1266778432,1.4115613610989002
444,-13.2105232732,-28.1218710566,1.4126661717276
445,-13.9631504849,-29.4222221354,1.4053606687852
446,-12.4626801177,-29.417385231100003,1.4064472422398
447,-21.426602174299997,-13.8061814163,1.4649686092186
448,-16.1758190173,-15.1181462354,1.4657917159884
449,-17.6689132796,-12.5144155047,1.4752535125779
450,3.35253330211,-7.36750784682,1.4811714958842002
451,-15.4299895987,-16.4173231372,1.4511652212142
452,4.85625618915,-7.3756889684199995,1.4771956391081
453,-16.1698460967,-12.5207213918,1.4746023548435
454,5.60869257208,-6.07289135039,1.4773970112284
455,4.09379389491,-11.274273349200001,1.4703421099216
456,4.84324323687,-9.9589950468,1.47247396982
457,3.34587102156,-9.97155856514,1.4741342604836
458,5.6009965607900005,-8.67908589402,1.4727603379204
459,4.1021756525,-8.675339094029999,1.4763740238636
460,6.32826821041,-20.3756416657,1.441606224599
